,CountryCode,IataCode,CityCode,CityName,AirportName
495,JP,HSG,HSG,Saga,Saga
496,MY,LMN,LMN,Limbang,Limbang
497,PE,JAU,JAU,Jauja,Francisco Carle
498,RU,VKT,VKT,Vorkuta,Vorkuta
499,AU,CED,CED,Ceduna,Ceduna
500,FR,DOL,DOL,Deauville,Deauville – Normandie
501,TZ,SGX,SGX,Songea,Songea
502,CN,HAK,HAK,Haikou,Haikou Meilan International
503,CN,NBS,NBS,Baishan,Changbaishan
504,AU,SBR,SBR,Saibai Island,Saibai Island
505,US,CHA,CHA,Chattanooga,Chattanooga Metropolitan
506,US,BLV,BLV,Belleville,MidAmerica St. Louis
507,US,RKD,RKD,Rockland,Knox County Regional
508,CN,YUS,YUS,"Yushu City, Qinghai",Yushu Batang
509,GB,SOU,SOU,Southampton,Southampton
510,KE,MRE,MRE,Maasai Mara,Mara Serena
511,PT,OPO,OPO,Porto,Porto
512,TN,NBE,NBE,Enfidha,Enfidha–Hammamet International
513,VU,FTA,FTA,Futuna Island,Futuna
514,FR,TLN,TLN,Toulon,Toulon–Hyères
515,CN,XIC,XIC,Xichang,Xichang Qingshan
516,CA,YRG,YRG,Rigolet,Rigolet
517,ET,GDQ,GDQ,Gondar,Gondar
518,PL,SZZ,SZZ,Szczecin,Solidarity Szczecin–Goleniów
519,BR,FLN,FLN,Florianópolis,Hercílio Luz International
520,JP,HNA,HNA,Hanamaki,Hanamaki
521,IT,NAP,NAP,Naples,Naples International
522,CN,NGB,NGB,Ningbo,Ningbo Lishe International
523,US,MVY,MVY,Martha's Vineyard,Martha's Vineyard
524,US,JST,JST,Johnstown,Johnstown–Cambria County
525,DE,RLG,RLG,Rostock,Rostock–Laage
526,UA,NLV,NLV,Nikolayev,Mykolaiv International Airport
527,NP,JMO,JMO,Jomsom,Jomsom
528,BE,BRU,BRU,Brussels,Brussels
529,PE,HUU,HUU,Huánuco,Alférez FAP David Figueroa Fernandini
530,NA,OMD,OMD,Oranjemund,Oranjemund
531,ID,TLI,TLI,Tolitoli,Sultan Bantilan
532,RU,ITU,ITU,Iturup,Iturup
533,DE,HAM,HAM,Hamburg,Hamburg
534,ID,UPG,UPG,Makassar,Sultan Hasanuddin International
535,RU,CKH,CKH,Chokurdakh,Chokurdakh
536,JP,AXT,AXT,Akita,Akita
537,FI,KUO,KUO,Kuopio,Kuopio
538,ES,BIO,BIO,Bilbao,Bilbao
539,US,CVG,CVG,Cincinnati,Cincinnati/Northern Kentucky International
540,SA,DMM,DMM,Dammam,King Fahd International
541,AU,MGB,MGB,Mount Gambier,Mount Gambier
542,DO,LRM,LRM,La Romana,La Romana International
543,PT,SJZ,SJZ,São Jorge Island,Sao Jorge
544,MX,QRO,QRO,Santiago de Querétaro,Querétaro International
545,ST,TMS,TMS,São Tomé,São Tomé International
546,PK,RYK,RYK,Rahim Yar Khan,Shaikh Zayed International
547,VN,HPH,HPH,Haiphong,Cat Bi International
548,IM,IOM,IOM,Douglas,Isle of Man
549,BG,VAR,VAR,Varna,Varna
550,MX,LMM,LMM,Los Mochis,Los Mochis International
551,US,ACY,AIY,Atlantic City,Atlantic City International
552,PK,PEW,PEW,Peshawar,Bacha Khan International
553,VN,BMV,BMV,Buon Ma Thuot,Buon Ma Thuot
554,MR,NDB,NDB,Nouadhibou,Nouadhibou International
555,PE,CIX,CIX,Chiclayo,FAP Captain José Abelardo Quiñones Gonzáles International
556,IT,PSA,PSA,Pisa,Pisa International
557,JP,NTQ,NTQ,Wajima,Noto
558,US,DBQ,DBQ,Dubuque,Dubuque Regional
559,IN,KQH,KQH,Kishangarh,Kishangarh Airport
560,NO,HVG,HVG,Honningsvåg,"Honningsvåg Airport, Valan"
561,US,IND,IND,Indianapolis,Indianapolis International
562,JP,AKJ,AKJ,Asahikawa,Asahikawa
563,AU,IRG,IRG,Lockhart River,Lockhart River
564,EC,GPS,GPS,Baltra Island,Seymour
565,US,HNH,HNH,Hoonah,Hoonah
566,BR,URG,URG,Uruguaiana,Ruben Berta International
567,CN,SHA,SHA,Shanghai,Shanghai Hongqiao International
568,MX,CSL,CSL,Cabo San Lucas,Cabo San Lucas International Airport
569,KE,NBO,NBO,Nairobi,Jomo Kenyatta International
570,CN,IQN,IQN,Qingyang,Qingyang
571,PT,BGC,BGC,Bragança,Braganca
572,US,TUP,TUP,Tupelo,Tupelo Regional
573,RU,SVX,SVX,Yekaterinburg,Koltsovo
574,FI,HEL,HEL,Helsinki,Helsinki
575,NP,LUA,LUA,Lukla,Tenzing–Hillary
576,GL,UPK,JUV,Upernavik,Upernavik Kujalleq Heliport
577,TR,TEQ,TEQ,Tekirdağ,Tekirdağ Çorlu
578,US,ACV,ACV,Arcata,Arcata–Eureka
579,ER,ASM,ASM,Asmara,Asmara International
580,BR,GVR,GVR,Governador Valadares,Governador Valadares
581,ET,DIR,DIR,Dire Dawa,Aba Tenna Dejazmach Yilma International
582,US,BOS,BOS,Boston,Logan International
583,US,XNA,FYV,Fayetteville,Northwest Arkansas Regional
584,CA,YVR,YVR,Vancouver,Vancouver International
585,ZA,KIM,KIM,"Kimberley, Northern Cape",Kimberley
586,CA,ZLT,ZLT,"La Tabatière, Quebec",La Tabatière
587,US,OTZ,OTZ,Kotzebue,Ralph Wien Memorial
588,TO,VAV,VAV,Vavaʻu,Vavaʻu International
589,KE,KTJ,MRE,Maasai Mara,Kichwa Tembo Airstrip
590,US,FAI,FAI,Fairbanks,Fairbanks International
591,RU,URJ,URJ,Uray,Uray
592,IT,BGY,MIL,Milan,Milan Bergamo International Airport
593,GR,JKH,JKH,Chios,Chios Island National
594,AF,BST,BST,Lashkargah,Bost
595,ID,PKN,PKN,Pangkalan Bun,Iskandar
596,EG,HBE,ALY,Alexandria,Borg El Arab
597,CM,DLA,DLA,Douala,Douala International
598,ET,MQX,MQX,Mek ele,Alula Aba Nega
599,AU,MKY,MKY,Mackay,Mackay
600,BR,BVH,BVH,Vilhena,Vilhena
601,LK,CMB,CMB,Colombo,Bandaranaike International
602,PH,SUG,SUG,Surigao City,Surigao
603,JM,NEG,NEG,Negril,Negril Airport
604,NO,HFT,HFT,Hammerfest,Hammerfest
605,IN,DED,DED,Dehradun,Dehradun
606,CA,YXY,YXY,Whitehorse,Erik Nielsen Whitehorse International
607,SL,FNA,FNA,Freetown,Lungi International
608,CA,YTH,YTH,Thompson,Thompson
609,NZ,DUD,DUD,Dunedin,Dunedin
610,ZM,NLA,NLA,Ndola,Simon Mwansa Kapwepwe International
611,KE,EDL,EDL,Eldoret,Eldoret International
612,US,HRO,HRO,Harrison,Boone County
613,ES,LEN,LEN,León,León
614,AU,BVI,BVI,Birdsville,Birdsville
615,DZ,INZ,INZ,In Salah,In Salah
616,KY,LYB,LYB,Little Cayman,Edward Bodden Airfield
617,CA,YHK,YHK,Gjoa Haven,Gjoa Haven
618,CN,XIL,XIL,Xilinhot,Xilinhot
619,RU,BZK,BZK,Bryansk,Bryansk International
620,US,PQI,PQI,Presque Isle,Northern Maine Regional Airport at Presque Isle
621,MG,TLE,TLE,Toliara,Toliara
622,IE,NOC,NOC,"Knock, County Mayo",Ireland West Airport Knock
623,US,SPI,SPI,Springfield,Abraham Lincoln Capital
624,PE,JAE,JAE,Jaén,Jaén
625,DE,TXL,BER,Berlin,Berlin Tegel
626,VG,VIJ,VIJ,Virgin Gorda,Virgin Gorda
627,UA,HRK,HRK,Kharkiv,Kharkiv International
628,GW,OXB,OXB,Bissau,Osvaldo Vieira International
629,ID,TKG,TKG,Bandar Lampung,Radin Inten II International
630,TH,PHS,PHS,Phitsanulok,Phitsanulok
631,US,ELM,ELM,Elmira,Elmira/Corning Regional
632,MX,MZT,MZT,Mazatlán,Mazatlán International
633,GQ,BSG,BSG,Bata,Bata
634,CN,YIE,YIE,Arxan,Arxan Yi'ershi
635,IL,HFA,HFA,Haifa,Haifa
636,IT,BDS,BDS,Brindisi,Brindisi
637,US,SCK,SCK,Stockton,Stockton Metropolitan
638,NO,ANX,ANX,Andenes,Andøya
639,IS,AEY,AEY,Akureyri,Akureyri
640,CN,SQD,SQD,Shangrao,Shangrao Sanqingshan
641,AU,ABM,ABM,Bamaga,Northern Peninsula
642,ID,GNS,GNS,Gunungsitoli,Binaka
643,JP,TOY,TOY,Toyama,Toyama
644,ES,LCG,LCG,A Coruña,A Coruña
645,BR,ARU,ARU,Araçatuba,Araçatuba
646,AU,PER,PER,Perth,Perth
647,IN,IXB,IXB,Bagdogra,Bagdogra
648,MZ,POL,POL,Pemba,Pemba
649,EG,LXR,LXR,Luxor,Luxor International
650,US,HNS,HNS,Haines,Haines
651,CA,YDF,YDF,Deer Lake,Deer Lake Regional
652,PF,AUQ,AUQ,Hiva Oa,Atuona
653,US,HOT,HOT,Hot Springs,Memorial Field
654,CN,CSX,CSX,Changsha,Changsha Huanghua International
655,NZ,WRE,WRE,Whangarei,Whangarei
656,KI,CXI,CXI,Kiritimati,Cassidy International
657,AU,MYI,MYI,Murray Island,Murray Island
658,CA,YVB,YVB,Bonaventure,Bonaventure
659,GB,CAL,CAL,Campbeltown,Campbeltown
660,AU,HID,HID,Horn Island,Horn Island
661,RS,INI,INI,Niš,Niš Constantine the Great
662,MX,PVR,PVR,Puerto Vallarta,Licenciado Gustavo Díaz Ordaz International
663,CA,YLW,YLW,Kelowna,Kelowna International
664,CN,YSQ,YSQ,Songyuan,Songyuan Chaganhu
665,HR,ZAG,ZAG,Zagreb,Zagreb
666,MX,CZM,CZM,Cozumel,Cozumel International
667,DE,FMM,FMM,Memmingen,Memmingen
668,NO,OSL,OSL,Oslo,"Oslo Airport, Gardermoen"
669,CN,TEN,TEN,Tongren,Tongren Fenghuang
670,PA,DAV,DAV,"David, Chiriquí",Enrique Malek International
671,GB,CWL,CWL,Cardiff,Cardiff
672,US,MHK,MHK,Manhattan,Manhattan Regional
673,RU,IRM,IRM,Igrim,Igrim
674,PT,FLW,FLW,Flores Island,Flores
675,JP,UKB,UKB,Kobe,Kobe
676,CN,JNZ,JNZ,Jinzhou,Jinzhou Xiaolingzi
677,CN,KMG,KMG,Kunming,Kunming Changshui International
678,CA,YYR,YYR,Happy Valley-Goose Bay,CFB Goose Bay
679,BR,THE,THE,Teresina,Senador Petronio Portella
680,ZM,RYL,RYL,Lower Zambezi National Park,Lower Zambezi Nat.Park Royal
681,IT,VCE,VCE,Venice,Venice Marco Polo
682,BR,SJP,SJP,São José do Rio Preto,São José do Rio Preto
683,MA,RAK,RAK,Marrakesh,Marrakesh Menara
684,US,ALO,ALO,Waterloo,Waterloo Regional
685,SE,UME,UME,Umeå,Umeå
686,US,BBX,PHL,Philadelphia,Wings Field
687,DZ,ORN,ORN,Oran,Oran Es Sénia
688,FR,FSC,FSC,Figari,Figari–Sud Corse
689,ES,MAH,MAH,Menorca,Menorca
690,PH,TUG,TUG,Tuguegarao,Tuguegarao
691,ID,RJM,RJM,Waisai,Waisai Marinda
692,PH,MBT,MBT,Masbate City,Moises R. Espinosa
693,CA,YPW,YPW,"Powell River, British Columbia",Powell River
694,JP,SHB,SHB,Nakashibetsu,Nakashibetsu
695,UG,EBB,EBB,Entebbe,Entebbe International
696,IN,BDQ,BDQ,Vadodara,Vadodara
697,CA,YBB,YBB,Kugaaruk,Kugaaruk
698,LT,PLQ,PLQ,Palanga,Palanga International
699,CV,BVC,BVC,Boa Vista,Aristides Pereira International
700,MG,TMM,TMM,Toamasina,Toamasina
701,AU,CFS,CFS,Coffs Harbour,Coffs Harbour
702,RU,CYX,CYX,Chersky,Chersky
703,KR,YNY,YNY,Yangyang County,Yangyang International
704,US,OMA,OMA,Omaha,Eppley Airfield
705,US,TVF,TVF,Thief River Falls,Thief River Falls Regional
706,TH,UTH,UTH,Udon Thani,Udon Thani International
707,PL,WMI,WAW,Warsaw,Warsaw Modlin
708,CA,YOC,YOC,"Old Crow, Yukon",Old Crow
709,US,DAL,DFW,Dallas,Dallas Love Field
710,US,ROA,ROA,Roanoke,Roanoke–Blacksburg Regional
711,GT,GUA,GUA,Guatemala City,La Aurora International
712,BR,STM,STM,Santarém,Santarém-Maestro Wilson Fonseca
713,NO,AES,AES,Ålesund,"Ålesund Airport, Vigra"
714,ID,DPS,DPS,Denpasar,Ngurah Rai International
715,US,HNL,HNL,Honolulu,Daniel K. Inouye International
716,US,LKE,SEA,Seattle,Kenmore Air Harbor Seaplane Base
717,US,BRD,BRD,Brainerd,Brainerd Lakes Regional
718,AX,MHQ,MHQ,Mariehamn,Mariehamn
719,TH,UBP,UBP,Ubon Ratchathani Province,Ubon Ratchathani
720,GL,JEG,JEG,Aasiaat,Aasiaat
721,ID,NTX,NTX,Natuna,Ranai
722,DZ,TEE,TEE,Tébessa,Cheikh Larbi Tebessi
723,US,SDY,SDY,Sidney,Sidney–Richland Municipal
724,AO,SPP,SPP,Menongue,Menongue
725,SE,AGH,AGH,Ängelholm,Ängelholm–Helsingborg
726,DE,DUS,DUS,Düsseldorf,Düsseldorf International Airport
727,AU,OOM,OOM,Cooma,Cooma–Snowy Mountains
728,NU,IUE,IUE,Alofi,Niue International
729,AU,ZNE,ZNE,Newman,Newman
730,MY,MKZ,MKZ,Malacca City,Malacca International
731,VN,DIN,DIN,Điện Biên Phủ,Dien Bien Phu
732,BR,BYO,BYO,Bonito,Bonito
733,US,PIB,LUL,Laurel,Hattiesburg–Laurel Regional
734,DZ,AZR,AZR,Adrar,Touat-Cheikh Sidi Mohamed Belkebir
735,TR,BJV,BJV,Bodrum,Milas–Bodrum
736,IN,IXG,IXG,Belgaum,Belgaum
737,TW,TPE,TPE,Taipei,Taiwan Taoyuan International
738,CR,TTQ,TTQ,Tortuguero,Tortuguero
739,US,SMX,SMX,Santa Maria,Santa Maria Public
740,ET,GMB,GMB,Gambela,Gambela
741,CN,CHG,CHG,"Chaoyang, Liaoning",Chaoyang
742,US,SJC,SJC,San Jose,San Jose International
743,PF,TUB,TUB,Tubuai,Tubuai – Mataura
744,ZZ,VIL,VIL,Dakhla,Dakhla
745,CA,YYG,YYG,Charlottetown,Charlottetown
746,SE,SCR,SCR,Rörbäcksnäs,Scandinavian Mountains Airport
747,VN,VII,VII,Vinh,Vinh International
748,NO,MEH,MEH,Mehamn,Mehamn
749,CD,GOM,GOM,Goma,Goma International
750,CN,XAI,XAI,Xinyang,Xinyang Minggang Airport
751,CA,YKA,YKA,Kamloops,Kamloops
752,TR,MQM,MQM,Mardin,Mardin
753,MX,ACA,ACA,Acapulco,Acapulco International
754,AO,SDD,SDD,Lubango,Lubango
755,UZ,NCU,NCU,Nukus,Nukus
756,SB,FRE,FRE,Fera Island,Fera
757,LA,LXG,LXG,Luang Namtha,Louang Namtha
758,US,ISP,ISP,Islip,Long Island MacArthur
759,RU,DLR,DLR,Dalnerechensk,Dalnerechensk
760,US,HHR,HHR,Hawthorne,Hawthorne Municipal
761,NA,OND,OND,Ondangwa,Ondangwa Airport
762,JP,KKJ,KKJ,Kitakyushu,Kitakyushu
763,CN,HGH,HGH,Hangzhou,Hangzhou Xiaoshan International
764,BD,RJH,RJH,Rajshahi,Shah Makhdum
765,RU,TLY,TLY,Plastun,Plastun
766,KZ,UKK,UKK,Oskemen,Oskemen
767,ZM,LUN,LUN,Lusaka,Kenneth Kaunda International
768,CY,PFO,PFO,Paphos,Paphos International
769,RU,KJA,KJA,Krasnoyarsk,Yemelyanovo International
770,CN,BPL,BPL,Bole,Bole Alashankou
771,IN,TCR,TCR,Thoothukudi,Tuticorin
772,CL,ZCO,ZCO,Temuco,La Araucanía International
773,PE,ANS,ANS,Andahuaylas,Andahuaylas
774,CN,NLH,NLH,Ninglang,Ninglang Luguhu
775,CA,YNE,YNE,Norway House,Norway House
776,CN,PEK,BJS,Beijing,Beijing Capital International
777,CD,KGA,KGA,Kananga,Kananga
778,AR,CTC,CTC,San Fernando del Valle de Catamarca,Coronel Felipe Varela International
779,KZ,SCO,SCO,Aktau,Aktau
780,ID,MLG,MLG,Malang,Abdul Rachman Saleh
781,CN,WMT,ZYI,Zunyi,Zunyi Maotai Airport
782,NZ,ZQN,ZQN,Queenstown,Queenstown
783,IN,GOI,GOI,Goa,Goa International
784,US,RAP,RAP,Rapid City,Rapid City Regional
785,CN,TSN,TSN,Tianjin,Tianjin Binhai International
786,ID,JBB,JBB,Jember Regency,Notohadinegoro
787,ZA,PLZ,PLZ,Port Elizabeth,Port Elizabeth
788,BO,TDD,TDD,Trinidad,Teniente Jorge Henrich Arauz
789,BR,CGB,CGB,Cuiabá,Marechal Rondon International
790,CN,CAN,CAN,Guangzhou,Guangzhou Baiyun International
791,HU,DEB,DEB,Debrecen,Debrecen International
792,BA,BNX,BNX,Banja Luka,Banja Luka International
793,CG,BZV,BZV,Brazzaville,Maya-Maya
794,PG,PNP,PNP,Popondetta,Girua
795,CA,YGT,YGT,Igloolik,Igloolik
796,BZ,BZE,BZE,Belize City,Philip S. W. Goldson International
797,IT,REG,REG,Reggio Calabria,Reggio Calabria
798,GB,STN,LON,London,London Stansted
799,GH,TKD,TKD,Sekondi-Takoradi,Takoradi
800,BR,MCP,MCP,Macapá,Macapá International
801,IT,BLQ,BLQ,Bologna,Bologna Guglielmo Marconi
802,BF,OUA,OUA,Ouagadougou,Ouagadougou
803,KE,MYD,MYD,Malindi,Malindi
804,CL,BBA,BBA,Balmaceda,Balmaceda
805,CO,SMR,SMR,Santa Marta,Simón Bolívar International
806,CA,YDQ,YDQ,Dawson Creek,Dawson Creek
807,KZ,GUW,GUW,Atyrau,Atyrau
808,JP,MBE,MBE,Monbetsu,Monbetsu
809,AO,CBT,CBT,Catumbela,Catumbela
810,SB,IRA,IRA,Kirakira,Kirakira
811,PH,CRK,CRK,Angeles,Clark International
812,GB,DND,DND,Dundee,Dundee
813,RU,KGD,KGD,Kaliningrad,Khrabrovo
814,DZ,CZL,CZL,Constantine,Mohamed Boudiaf International
815,CN,LPF,LPF,Liupanshui,Liupanshui Yuezhao
816,KZ,KGF,KGF,Karaganda,Sary-Arka
817,PG,WBM,WBM,Wapenamanda District,Wapenamanda
818,CA,YYZ,YTO,Toronto,Toronto Pearson International
819,ET,AWA,AWA,Awasa,Awasa
820,NZ,ROT,ROT,Rotorua,Rotorua Regional
821,RU,AAQ,AAQ,Anapa,Anapa
822,PF,MAU,MAU,Maupiti,Maupiti
823,US,LAS,LAS,Las Vegas,McCarran International
824,CA,ZTB,ZTB,"Tête-à-la-Baleine, Quebec",Tête-à-la-Baleine
825,US,UIN,UIN,Quincy,Quincy Regional
826,US,SJT,SJT,San Angelo,San Angelo Regional
827,IN,DIB,DIB,Dibrugarh,Dibrugarh
828,BR,CXJ,CXJ,Caxias do Sul,Campo dos Bugres
829,FI,OUL,OUL,Oulu,Oulu
830,IN,LUH,LUH,Ludhiana,Sahnewal
831,BZ,INB,INB,Independence and Mango Creek,Independence
832,PG,VAI,VAI,Vanimo,Vanimo
833,CN,JHG,JHG,Jinghong,Xishuangbanna Gasa
834,US,GFK,GFK,Grand Forks,Grand Forks International
835,US,VCT,VCT,Victoria,Victoria Regional
836,AU,KGC,KGC,Kingscote,Kingscote
837,SB,KGE,KGE,Kaghau Island,Kaghau
838,AU,BHS,BHS,Bathurst,Bathurst
839,ZA,UTT,UTT,Mthatha,Mthatha
840,ES,GMZ,GMZ,San Sebastián de La Gomera,La Gomera
841,TZ,GTZ,GTZ,Grumeti Game Reserve,Grumeti Kirawira B
842,OM,DQM,DQM,Duqm,Duqm Jaaluni
843,PF,NHV,NHV,Nuku Hiva,Nuku Hiva
844,CA,YTQ,YTQ,Tasiujaq,Tasiujaq
845,RU,KVX,KVX,Kirov,Pobedilovo
846,AU,ADL,ADL,Adelaide,Adelaide
847,CO,PPN,PPN,Popayán,Guillermo León Valencia
848,US,DUJ,DUJ,DuBois,DuBois Regional
849,GB,NQY,NQY,Newquay,Cornwall Airport Newquay
850,ZA,LDZ,LDZ,Londolozi Private Game Reserve,Londolozi
851,SE,RNB,RNB,Ronneby,Ronneby
852,TR,MZH,MZH,Amasya,Amasya Merzifon
853,NF,NLK,NLK,Burnt Pine,Norfolk Island
854,US,STC,STC,St. Cloud,St. Cloud Regional
855,NA,WVB,WVB,Walvis Bay,Walvis Bay
856,IT,CAG,CAG,Cagliari,Cagliari Elmas
857,XK,PRN,PRN,Pristina,Pristina International
858,BR,NVT,NVT,Navegantes,Navegantes
859,DE,NRN,DUS,Düsseldorf,Weeze
860,CN,HDG,HDG,Handan,Handan
861,MA,TNG,TNG,Tangier,Tangier Ibn Battouta
862,FR,LRH,LRH,La Rochelle,La Rochelle – Île de Ré
863,AU,GLT,GLT,Gladstone,Gladstone
864,ET,GDE,GDE,Gode,Gode
865,FM,KSA,KSA,Kosrae,Kosrae International
866,JP,OKI,OKI,Oki Islands,Oki
867,UZ,FEG,FEG,Fergana,Fergana International
868,TH,ROI,ROI,Roi Et Province,Roi Et
869,TR,YEI,YEI,Bursa,Yenişehir
870,US,GCK,GCK,Garden City,Garden City Regional
871,US,VPS,VPS,Destin,Destin–Fort Walton Beach
872,TZ,ARK,ARK,Arusha,Arusha
873,JM,MBJ,MBJ,Montego Bay,Sangster International
874,US,PUB,PUB,Pueblo,Pueblo Memorial
875,CN,SQJ,SQJ,Sanming,Sanming Shaxian
876,CA,YWK,YWK,Wabush,Wabush
877,HN,LCE,LCE,La Ceiba,Golosón International
878,PE,IQT,IQT,Iquitos,Coronel FAP Francisco Secada Vignetta International
879,BR,MBZ,MBZ,Maués,Maués Airport
880,GQ,GEM,GEM,Mongomo,Mongomo Mongomeyen
881,US,BWI,WAS,"Washington, D.C.",Baltimore–Washington International
882,GR,PVK,PVK,Preveza,Aktion National
883,CA,YSK,YSK,Sanikiluaq,Sanikiluaq
884,GR,KSJ,KSJ,Kasos,Kasos Island Public
885,GB,PPW,PPW,Papa Westray,Papa Westray
886,SK,BTS,BTS,Bratislava,Bratislava Airport
887,PF,AXR,AXR,Arutua,Arutua
888,AR,RGL,RGL,Río Gallegos,Piloto Civil Norberto Fernández International
889,MX,AGU,AGU,Aguascalientes,Aguascalientes International
890,NZ,WLG,WLG,Wellington,Wellington International
891,CO,CZU,CZU,"Corozal, Sucre",Las Brujas
892,DE,GWT,GWT,Westerland,Sylt
893,GB,LBA,LBA,Leeds,Leeds Bradford
894,CA,YGP,YGP,Gaspé,Michel-Pouliot Gaspé
895,ET,BJR,BJR,Bahir Dar,Bahir Dar
896,FR,SXB,SXB,Strasbourg,Strasbourg
897,US,HRL,HRL,Harlingen,Valley International
898,NO,BGO,BGO,Bergen,"Bergen Airport, Flesland"
899,US,MKL,MKL,Jackson,McKellar–Sipes Regional
900,TR,EDO,EDO,Edremit,Balıkesir Koca Seyit
901,US,MLU,MLU,Monroe,Monroe Regional
902,KE,MBA,MBA,Mombasa,Moi International
903,AU,MEL,MEL,Melbourne,Melbourne
904,CO,EOH,MDE,Medellín,Olaya Herrera
905,US,PAE,PAE,Everett,Paine Field Everett
906,MN,ULG,ULG,Ölgii,Ölgii
907,TR,OGU,OGU,Giresun,Ordu–Giresun
908,BR,SDU,RIO,Rio de Janeiro,Santos Dumont
909,CN,NGQ,NGQ,Ngari Prefecture,Ngari Gunsa
910,NO,BVG,BVG,Berlevåg,Berlevåg
911,WS,APW,APW,Apia,Faleolo International
912,US,PVC,PVC,Provincetown,Provincetown Municipal
913,DZ,TLM,TLM,Tlemcen,Zenata – Messali El Hadj
914,TZ,PMA,PMA,Pemba Island,Pemba
915,IN,BBI,BBI,Bhubaneswar,Biju Patnaik International
916,PL,KRK,KRK,Kraków,John Paul II International Airport Kraków–Balice
917,MX,HMO,HMO,Hermosillo,General Ignacio Pesqueira García International
918,TH,LOE,LOE,Loei Province,Loei
919,CA,YQM,YQM,Moncton,Greater Moncton Roméo LeBlanc International
920,CN,SZX,SZX,Shenzhen,Shenzhen Bao an International
921,ID,SXK,SXK,Saumlaki,Saumlaki Olilit
922,TH,TST,TST,Trang,Trang
923,US,SLK,SLK,Saranac Lake,Adirondack Regional
924,CR,NOB,NOB,Nosara,Nosara
925,US,PAH,PAH,Paducah,Barkley Regional
926,MX,SJD,SJD,San José del Cabo,Los Cabos International
927,MX,IZT,IZT,"Ixtepec, Oaxaca",Ixtepec
928,BR,CAC,CAC,Cascavel,Cascavel
929,ZA,PTG,PTG,"Polokwane, Limpopo",Polokwane International
930,IN,JRH,JRH,Jorhat,Jorhat
931,SE,THN,THN,Trollhättan,Trollhättan–Vänersborg
932,BZ,PLJ,PLJ,Placencia,Placencia
933,TZ,MYW,MYW,Mtwara,Mtwara
934,US,AIA,AIA,Alliance,Alliance Municipal
935,JP,FUJ,FUJ,Fukue Island,Fukue
936,BR,JJG,JJG,Jaguaruna,Jaguaruna Regional
937,CA,YNA,YNA,Natashquan,Natashquan
938,IN,DEL,DEL,New Delhi,Indira Gandhi International
939,AO,CAB,CAB,Cabinda,Cabinda
940,AU,MCY,MCY,Sunshine Coast Region,Sunshine Coast
941,RU,EYK,EYK,Beloyarsky,Beloyarsk
942,ID,FKQ,FKQ,Fakfak,Fakfak Torea
943,RU,UUA,UUA,Bugulma,Bugulma
944,US,MKG,MKG,Muskegon,Muskegon County
945,AR,RGA,RGA,Río Grande,Hermes Quijada International
946,CR,SJO,SJO,San José,Juan Santamaría International
947,SB,SCZ,SCZ,Santa Cruz Islands,Santa Cruz/Graciosa Bay/Luova
948,RU,NBC,NBC,Nizhnekamsk,Begishevo
949,MD,KIV,KIV,Chișinău,Chișinău International
950,IN,SXV,SXV,Salem ,Salem
951,GB,EMA,NQT,Nottingham,East Midlands
952,US,LEX,LEX,Lexington,Blue Grass
953,MZ,VXC,VXC,Lichinga,Lichinga
954,PW,ROR,ROR,Koror,Roman Tmetuchl International
955,US,LUP,LUP,Kalaupapa,Kalaupapa Airport
956,US,PGA,PGA,Page,Page Municipal
957,JP,HND,TYO,Tokyo,Haneda
958,US,PKB,PKB,Parkersburg,Mid-Ohio Valley Regional
959,MM,HEH,HEH,Heho,Heho
960,MF,SFG,SFG,Saint Martin (Island),Grand Case-Espérance
961,US,SAC,SAC,Sacramento,Sacramento Executive Airport
962,CA,YCL,YCL,Charlo,Charlo
963,CZ,PED,PED,Pardubice,Pardubice Airport
964,RU,HMA,HMA,Khanty-Mansiysk,Khanty-Mansiysk
965,DE,ERF,ERF,Erfurt,Erfurt–Weimar
966,AO,LUO,LUO,Luena,Luena
967,NO,SVJ,SVJ,Svolvær,"Svolvær Airport, Helle"
968,SA,SHW,SHW,Sharurah,Sharurah Domestic
969,FR,LIG,LIG,Limoges,Limoges – Bellegarde
970,ES,RMU,MJV,Murcia,Región de Murcia
971,ID,SWQ,SWQ,Sumbawa Besar,Sultan Muhammad Kaharuddin III
972,AU,BDB,BDB,Bundaberg Region,Bundaberg
973,GL,AGM,AGM,Tasiilaq,Tasiilaq Ammassalik Heliport
974,HR,BWK,BWK,Brač,Brač
975,TZ,ZNZ,ZNZ,Zanzibar,Abeid Amani Karume International
976,GL,SGG,SGG,Sermiligaaq,Sermiligaaq Heliport
977,CN,ZYI,ZYI,Zunyi,Zunyi Xinzhou
978,MX,MAM,MAM,Matamoros,Matamoros International
979,FR,CAY,CAY,Cayenne,Cayenne – Félix Eboué
980,US,RDM,RDM,Redmond,Roberts Field
981,PF,MOZ,MOZ,Mo orea,Moorea
982,BR,CWB,CWB,Curitiba,Afonso Pena International
983,AR,RCU,RCU,Río Cuarto,Las Higueras
984,US,CLL,CLL,College Station,Easterwood
985,US,JAC,JAC,Jackson,Jackson Hole
986,ZA,UTN,UTN,Upington,Upington
987,MY,KCH,KCH,Kuching,Kuching International
988,RU,IKS,IKS,Tiksi,Tiksi
989,CN,HEK,HEK,Heihe,Heihe
990,RU,ESL,ESL,Elista,Elista
991,LA,XKH,XKH,Phonsavan,Xieng Khouang
